Scholarship Name,Deadline,Amount,Description,Location,Years,Link
ASNE Scholarship,Unknown deadline,500.0,"Applicant must be enrolled in a full-time, undergraduate or master&#039;s degree program or be a co-op student at an accredited college or university. Applicant must demonstrate or express a genuine interest in a career in naval engineering and be a U.S. citizen. Selection is based upon academic record, work history, professional promise, extracurricular activities, and recommendations. Financial need may be considered. Graduate applicants must be members of ASNE.",No Geographic Restrictions,"['Master&#039;s-level study', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/asne-scholarship
Willis H. Carrier Scholarship,Unknown deadline,500.0,"Applicant must be a full-time student enrolled in a program accredited by the Accreditation Board for Engineering and Technology (ABET), or a substantially equivalent program outside the United States, leading to a Bachelor of Science or Engineering degree. Selection is based upon financial need, faculty recommendations, leadership ability, and potential service to the HVAC and/or refrigeration profession.",No Geographic Restrictions,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/willis-h-carrier-scholarship
ASHRAE Scholarship,Unknown deadline,500.0,"Selection is based upon financial need, minimum 3.0 college GPA, faculty recommendations, leadership ability, and potential service to the HVAC and/or refrigeration profession. Applicant must be enrolled full time in an ABET-accredited program.",No Geographic Restrictions,"['College junior', 'College sophomore', 'High school senior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/ashrae-scholarship
Men&#039;s Auxiliary of the SWE (MASWE) Scholarship,Unknown deadline,500.0,"Applicant must be a woman and have a minimum 3.0 GPA. Applicant must demonstrate financial need and be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,"['College junior', 'College sophomore', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/mens-auxiliary-of-the-swe-maswe-scholarship
Ivy Parker Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a woman, have a minimum 3.0 GPA, and demonstrate financial need. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/ivy-parker-memorial-scholarship
Olive Lynn Salembier Reentry Scholarship,Unknown deadline,500.0,"Applicant must be a woman who has been out of the engineering job market for a minimum of two years. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved colleges and universities, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution. Scholarship is to aid in obtaining the credentials necessary to re-enter the job market as an engineer.",No Geographic Restrictions,"['Master&#039;s-level study', 'College freshman', 'College senior', 'Doctoral-level study', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/olive-lynn-salembier-reentry-scholarship
Chinese Professional Club of Houston Scholarship,Unknown deadline,500.0,Applicant must be of Chinese descent and reside in the greater Houston metropolitan area.,Houston,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/chinese-professional-club-of-houston-scholarship
Jose Marti Scholarship Challenge Grant,Unknown deadline,500.0,"Applicant must be a Hispanic-American student who is enrolled for a minimum of 12 credit hours for undergraduate study or nine credit hours for graduate study. Application for undergraduate study must be submitted during the applicant&#039;s senior year of high school. Graduate students may apply; however priority for the scholarship is given to high school seniors. Applicant must not owe a repayment or be in default under any state or federal grant, loan, or scholarship program unless satisfactory arrangements to repay have been made. FAFSA is required.",Florida,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/jose-marti-scholarship-challenge-grant
State Aid to Native Americans,Unknown deadline,775.0,"Applicant must be on an official tribal roll of a New York tribe or the child of an enrolled member, be a New York resident, maintain good academic standing, and be enrolled in an approved post-secondary program in New York. Awards are made to all eligible applicants. Pro-rated awards are available for students taking less than twelve credits.",New York,"['College sophomore', 'College freshman', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/state-aid-to-native-americans
Young American Creative Patriotic Art Contest,Unknown deadline,500.0,"Applicant must attend school in the same state as the sponsoring Auxiliary and submit artwork for a creative, patriotic art competition.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/young-american-creative-patriotic-art-contest
Art Scholarship for Mature Women,Unknown deadline,500.0,"Applicant must be a female U.S. citizen who is at least age 35 and must submit description of background, proposal for use of money, and three prints (4x6 or larger) of work in any medium: oil, water color, original works on paper, sculpture, or photography. Photographs should be submited as 4x6 or larger prints.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/art-scholarship-for-mature-women
Print and Graphics Scholarship Foundation,Unknown deadline,500.0,"Applicant must have a minimum 3.0 GPA, strong leadership qualities, and specific goals for a career in graphics. Selection is based upon test scores and recommendations.",No Geographic Restrictions,"['College senior', 'College freshman', 'Master&#039;s-level study', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/print-and-graphics-scholarship-foundation
Career Development Grant,Unknown deadline,500.0,"Applicant must be a women who hold a bachelor&#039;s degree and is preparing to advance their career, change career, or re-enter the work force. Special consideration is given to women of color, and women pursuing their first advanced degree or credentials in nontraditional fields.",No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/career-development-grant
Julia Kiene Fellowship in Electrical Energy,Unknown deadline,500.0,"Applicant must be pursuing graduate work toward an advanced degree in the electrical industry. Selection is based upon academic aptitude, vocational promise, character, financial need, and willingness to continue a career in a field related to the utility industry and related fields.",No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/julia-kiene-fellowship-in-electrical-energy
Institute of Electrical and Electronics Engineers Fellowship in Electrical History,Unknown deadline,500.0,"Applicant must have an undergraduate degree in engineering, the sciences, or the humanities and be doing full-time graduate work or post-doctoral research in the field of history. Selection is based upon potential for pursuing research in and contributing to electrical history.",No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/institute-of-electrical-and-electronics-engineers-fellowship-in-electrical-history
Alice E. Smith Fellowship,Unknown deadline,500.0,"Applicant must be a professional or nonprofessional writer, academic, or independent scholars. Cover sheet, resume, and completed book proposal (see link to book proposal form) are required to be submitted. Applications are accepted year round.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/alice-e-smith-fellowship
Huntington Fellowships,Unknown deadline,500.0,"Applicant must hold a Ph.D. or equivalent or be a doctoral candidate at dissertation stage. Selection is based upon the value of the project, the ability of the applicant, and the degree to which special strengths of the library will be utilized. Recipients are expected to be in residence throughout their tenure.",No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/huntington-fellowships
Lillian Moeller Gilbreth Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a woman with a minimum 3.0 GPA who demonstrates outstanding potential and achievement. Applicant must be in an ABET-accredited engineering program, engineering at SWE-approved institution, or computer science in a CSAB-accredited program or at an ABET-accredited or SWE-approved institution.",No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/lillian-moeller-gilbreth-memorial-scholarship
F. Ward Just Scholarship,Unknown deadline,500.0,"Open only to Lake County, Illinois, high school graduates in upper half of their class intending to establish an undergraduate major in journalism or media communications. Financial need must also be demonstrated. Promise, character, work ethic and academic achievement also rank high with the scholarship selection committee.",Lake,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/f-ward-just-scholarship
Quarton McElroy Broadcast Scholarship,Unknown deadline,500.0,Applicant must be a senior graduating from an Iowa high school who will attend an Iowa college or university.,Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/quarton-mcelroy-broadcast-scholarship
Dow Jones Newspaper Fund Editing Internship,Unknown deadline,500.0,"Applicant must be an U.S. citizen and work the full summer at the copy desk of a daily newspaper, online newspaper, or real-time financial news service (identified by DJNF). Recipient must attend a one to two week training seminar before beginning the internship.",No Geographic Restrictions,"['College junior', 'College senior', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/dow-jones-newspaper-fund-editing-internship
George A. Strait Minority Stipend,Unknown deadline,500.0,Applicant must be a minority college graduate with law library experience who is a degree candidate at an accredited library or law school.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/george-a-strait-minority-stipend
AASL School Librarian&#039;s Workshop Scholarship,Unknown deadline,500.0,"Applicant must have received a bachelor&#039;s degree with academic excellence, and be accepted to a full-time ALA-accredited library program or an NCATE-accredited unit. Applicant must have demonstrated interest in working with children or young adults in a public or private school and show leadership potential.",No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/aasl-school-librarians-workshop-scholarship
Bound-to-Stay-Bound Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. or Canadian citizen and must have been accepted but not yet begun a degree program and must work in children&#039;s services for one year after graduation. Selection based upon academic excellence, leadership qualities, and a desire to work with children in any type of library. Applicant must submit a personal statement describing career interests and goals.",No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/bound-to-stay-bound-scholarship
David H. Clift Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. or Canadian citizen enrolled in a master&#039;s degree program in library education at an ALA-accredited institution and submit a one-page personal statement describing career interests, goals, and commitment to library and information service. Selection is based upon academic excellence, leadership qualities, and a commitment to a career in librarianship.",No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/david-h-clift-scholarship
